Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[4],Sigmoid,25,1.0,256,92.1951219512195
[4],Sigmoid,25,1.0,512,83.41463414634147
[4],Sigmoid,25,0.1,16,90.2439024390244
[4],Sigmoid,25,0.1,32,88.78048780487805
[4],Sigmoid,25,0.1,64,94.63414634146342
[4],Sigmoid,25,0.1,128,88.78048780487805
[4],Sigmoid,25,0.1,256,90.73170731707317
[4],Sigmoid,25,0.1,512,89.26829268292683
[4],Sigmoid,25,0.01,16,90.73170731707317
[4],Sigmoid,25,0.01,32,87.8048780487805
[4],Sigmoid,25,0.01,64,84.8780487804878
[4],Sigmoid,25,0.01,128,83.90243902439025
[4],Sigmoid,25,0.01,256,85.36585365853658
[4],Sigmoid,25,0.01,512,80.97560975609755
[4],Sigmoid,25,0.001,16,81.95121951219512
[4],Sigmoid,25,0.001,32,81.46341463414635
[4],Sigmoid,25,0.001,64,83.41463414634147
[4],Sigmoid,25,0.001,128,81.46341463414635
[4],Sigmoid,25,0.001,256,76.58536585365853
[4],Sigmoid,25,0.001,512,72.1951219512195
[4],Sigmoid,25,0.0001,16,68.29268292682927
[4],Sigmoid,25,0.0001,32,54.63414634146341
[4],Sigmoid,25,0.0001,64,51.21951219512195
[4],Sigmoid,25,0.0001,128,51.21951219512195
[4],Sigmoid,25,0.0001,256,48.78048780487805
[4],Sigmoid,25,0.0001,512,66.82926829268293
[4],Sigmoid,50,10.0,16,77.5609756097561
[4],Sigmoid,50,10.0,32,72.6829268292683
[4],Sigmoid,50,10.0,64,83.41463414634147
[4],Sigmoid,50,10.0,128,76.58536585365853
[4],Sigmoid,50,10.0,256,63.41463414634146
[4],Sigmoid,50,10.0,512,75.60975609756098
[4],Sigmoid,50,1.0,16,82.4390243902439
[4],Sigmoid,50,1.0,32,83.41463414634147
[4],Sigmoid,50,1.0,64,85.85365853658537
[4],Sigmoid,50,1.0,128,89.7560975609756
[4],Sigmoid,50,1.0,256,88.78048780487805
[4],Sigmoid,50,1.0,512,87.3170731707317
[4],Sigmoid,50,0.1,16,92.6829268292683
[4],Sigmoid,50,0.1,32,91.21951219512195
[4],Sigmoid,50,0.1,64,93.65853658536585
[4],Sigmoid,50,0.1,128,94.14634146341463
[4],Sigmoid,50,0.1,256,90.2439024390244
[4],Sigmoid,50,0.1,512,91.21951219512195
[4],Sigmoid,50,0.01,16,90.2439024390244
[4],Sigmoid,50,0.01,32,89.26829268292683
[4],Sigmoid,50,0.01,64,89.26829268292683
[4],Sigmoid,50,0.01,128,87.8048780487805
[4],Sigmoid,50,0.01,256,84.8780487804878
[4],Sigmoid,50,0.01,512,85.36585365853658
[4],Sigmoid,50,0.001,16,82.4390243902439
[4],Sigmoid,50,0.001,32,84.39024390243902
[4],Sigmoid,50,0.001,64,82.92682926829268
[4],Sigmoid,50,0.001,128,81.46341463414635
[4],Sigmoid,50,0.001,256,75.1219512195122
[4],Sigmoid,50,0.001,512,73.17073170731707
